accelometer ODR: 3200 Hz
total # of rows: 3073
 Row #, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16
  0000, 02, 0c, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00
  0001, 55, 55, 55, 55, 00, bc, b2, a3, 5f, f7, 09, 00, 00, 03, 64, 00
  0002, 0f, 91, 1c, 00, c0, 1b, ff, ff, 00, 00, fc, ff, 01, 00, fd, ff
  0003, fb, ff, 00, 00, fe, ff, 00, 00, 00, 00, ff, ff, 02, 00, fc, ff
  0004, 04, 00, fc, ff, fe, ff, 00, 00, fe, ff, 05, 00, 00, 00, 03, 00
  0005, 01, 00, ff, ff, ff, ff, 05, 00, 05, 00, 05, 00, fe, ff, ff, ff
  0006, fc, ff, 01, 00, 07, 00, fe, ff, 01, 00, 02, 00, 01, 00, 03, 00
  0007, ff, ff, 02, 00, 03, 00, ff, ff, 04, 00, fe, ff, 00, 00, 04, 00
  0008, ff, ff, 02, 00, fe, ff, 07, 00, fb, ff, fe, ff, 04, 00, fe, ff
  0009, ff, ff, ff, ff, ff, ff, 03, 00, ff, ff, ff, ff, 04, 00, 01, 00
  000a, 01, 00, 04, 00, 07, 00, 03, 00, 00, 00, 05, 00, ff, ff, 00, 00
  000b, 05, 00, ff, ff, 00, 00, 00, 00, 05, 00, 02, 00, 01, 00, 03, 00
  000c, 02, 00, 05, 00, fe, ff, 04, 00, 00, 00, 01, 00, fe, ff, 01, 00
  000d, fe, ff, fe, ff, fd, ff, fe, ff, 00, 00, 00, 00, 01, 00, fd, ff
  000e, 04, 00, fd, ff, 01, 00, 01, 00, 00, 00, 00, 00, 01, 00, fb, ff
  000f, 01, 00, fd, ff, 00, 00, 01, 00, fd, ff, fd, ff, fc, ff, 05, 00
  0010, 02, 00, fe, ff, 00, 00, 02, 00, 02, 00, 01, 00, fc, ff, 00, 00
  0011, fd, ff, 01, 00, fc, ff, 01, 00, 01, 00, ff, ff, 00, 00, 01, 00
  0012, fd, ff, fc, ff, fe, ff, 00, 00, 05, 00, fe, ff, 06, 00, 03, 00
  0013, fd, ff, 01, 00, f8, ff, 07, 00, fe, ff, 03, 00, 01, 00, ff, ff
  0014, 01, 00, fd, ff, fd, ff, 00, 00, 00, 00, 02, 00, fe, ff, 02, 00
  0015, fe, ff, fc, ff, 01, 00, fa, ff, 01, 00, 00, 00, ff, ff, 03, 00
  0016, fb, ff, 02, 00, 03, 00, fa, ff, 03, 00, fd, ff, fa, ff, ff, ff
  0017, fe, ff, 03, 00, fe, ff, 03, 00, 01, 00, fe, ff, 02, 00, fd, ff
  0018, ff, ff, ff, ff, fd, ff, 03, 00, fe, ff, fd, ff, fe, ff, fe, ff
