accelometer ODR: 3200 Hz
total # of rows: 3017
 Row #, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16
  0000, ca, 0b, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00
  0001, 55, 55, 55, 55, 00, 61, 17, 99, 5f, fd, 09, 00, 00, 03, 64, 00
  0002, 0f, a1, 1c, 00, c0, 1b, 04, 00, 03, 00, 00, 00, 05, 00, ff, ff
  0003, fe, ff, 03, 00, fe, ff, 02, 00, 00, 00, fb, ff, 04, 00, fc, ff
  0004, fe, ff, 02, 00, 00, 00, 01, 00, 02, 00, 02, 00, 03, 00, 01, 00
  0005, 07, 00, fe, ff, fc, ff, 04, 00, fc, ff, fe, ff, fb, ff, 02, 00
  0006, 01, 00, ff, ff, ff, ff, 02, 00, 02, 00, 02, 00, 02, 00, fd, ff
  0007, fe, ff, 03, 00, 02, 00, fd, ff, 04, 00, 04, 00, fe, ff, 00, 00
  0008, fa, ff, 00, 00, 00, 00, 04, 00, ff, ff, fd, ff, 00, 00, 01, 00
  0009, ff, ff, ff, ff, fc, ff, ff, ff, fe, ff, 00, 00, 00, 00, fe, ff
  000a, 04, 00, 00, 00, 00, 00, 02, 00, fe, ff, 06, 00, 02, 00, 02, 00
  000b, 03, 00, 03, 00, 05, 00, fe, ff, fd, ff, 03, 00, ff, ff, 03, 00
  000c, fd, ff, 00, 00, ff, ff, 02, 00, 03, 00, fe, ff, 04, 00, 02, 00
  000d, ff, ff, 07, 00, 00, 00, fe, ff, 04, 00, ff, ff, ff, ff, 00, 00
  000e, 06, 00, 04, 00, 01, 00, 00, 00, 03, 00, 04, 00, 02, 00, 00, 00
  000f, 03, 00, fc, ff, ff, ff, fe, ff, fe, ff, 04, 00, fd, ff, 04, 00
  0010, fe, ff, 01, 00, 00, 00, ff, ff, 00, 00, fd, ff, ff, ff, 02, 00
  0011, fc, ff, 03, 00, 03, 00, fb, ff, 05, 00, fe, ff, 03, 00, 01, 00
  0012, 02, 00, fd, ff, ff, ff, 00, 00, 04, 00, fe, ff, 02, 00, fd, ff
  0013, 05, 00, fe, ff, f8, ff, 06, 00, 00, 00, 03, 00, fe, ff, ff, ff
  0014, fd, ff, 02, 00, fd, ff, ff, ff, ff, ff, fd, ff, fb, ff, 03, 00
  0015, 01, 00, fe, ff, fd, ff, ff, ff, 02, 00, ff, ff, 00, 00, 03, 00
  0016, fc, ff, fe, ff, 04, 00, fe, ff, 02, 00, fc, ff, 00, 00, fb, ff
  0017, fd, ff, 01, 00, fb, ff, ff, ff, fc, ff, 00, 00, 03, 00, fc, ff
  0018, 00, 00, 05, 00, fe, ff, fe, ff, 01, 00, fd, ff, fd, ff, fd, ff
  0019, 02, 00, 02, 00, 06, 00, fe, ff, f9, ff, ff, ff, fa, ff, 00, 00
  001a, 00, 00, fe, ff, ff, ff, fc, ff, fa, ff, 02, 00, fd, ff, 04, 00
  001b, f9, ff, fe, ff, 01, 00, 00, 00, fe, ff, ff, ff, fc, ff, 04, 00
  001c, ff, ff, 04, 00, fd, ff, 04, 00, 03, 00, 04, 00, 02, 00, 03, 00
  001d, 04, 00, 00, 00, 02, 00, 05, 00, ff, ff, 06, 00, 08, 00, fb, ff
  001e, 04, 00, 00, 00, 01, 00, 04, 00, 00, 00, 01, 00, fe, ff, 05, 00
  001f, 00, 00, 01, 00, fe, ff, fd, ff, 00, 00, fd, ff, 01, 00, 04, 00
  0020, ff, ff, 01, 00, fe, ff, fe, ff, 02, 00, 01, 00, 06, 00, 01, 00
  0021, fe, ff, ff, ff, fd, ff, 00, 00, fe, ff, 02, 00, 00, 00, 00, 00
  0022, 02, 00, ff, ff, fb, ff, 00, 00, 03, 00, 00, 00, 01, 00, 00, 00
  0023, fe, ff, fd, ff, 05, 00, 06, 00, 02, 00, fc, ff, fa, ff, 01, 00
  0024, fe, ff, fb, ff, 01, 00, 02, 00, 00, 00, fa, ff, fd, ff, 04, 00
  0025, fe, ff, fe, ff, ff, ff, ff, ff, fe, ff, fe, ff, fd, ff, 02, 00
  0026, fd, ff, 03, 00, 00, 00, 00, 00, 05, 00, fc, ff, fc, ff, fc, ff
  0027, ff, ff, 03, 00, fd, ff, 02, 00, fa, ff, 03, 00, fa, ff, ff, ff
  0028, 02, 00, fc, ff, 02, 00, 06, 00, fd, ff, 00, 00, fa, ff, 00, 00
  0029, ff, ff, 01, 00, 01, 00, fd, ff, fe, ff, 03, 00, fd, ff, 01, 00
  002a, fc, ff, ff, ff, fe, ff, 02, 00, fc, ff, fd, ff, 02, 00, 02, 00
  002b, 01, 00, 04, 00, 00, 00, 03, 00, 03, 00, ff, ff, ff, ff, fc, ff
  002c, 03, 00, fe, ff, fe, ff, 03, 00, 02, 00, 01, 00, 02, 00, 05, 00
  002d, 00, 00, ff, ff, fe, ff, fe, ff, 02, 00, 02, 00, 01, 00, 03, 00
  002e, fb, ff, 02, 00, ff, ff, fd, ff, ff, ff, 04, 00, fe, ff, 06, 00
  002f, 00, 00, ff, ff, 02, 00, ff, ff, 03, 00, ff, ff, fd, ff, ff, ff
  0030, ff, ff, 02, 00, fd, ff, 02, 00, 04, 00, fe, ff, 02, 00, fd, ff
  0031, ff, ff, 01, 00, ff, ff, 06, 00, fc, ff, 05, 00, 01, 00, 03, 00
  0032, fe, ff, 00, 00, 05, 00, 03, 00, fe, ff, ff, ff, fe, ff, 01, 00
  0033, 01, 00, 00, 00, 03, 00, 00, 00, 02, 00, 01, 00, ff, ff, 03, 00
  0034, 01, 00, fd, ff, fe, ff, 01, 00, 00, 00, fe, ff, 01, 00, 04, 00
  0035, fe, ff, 02, 00, fc, ff, 02, 00, 05, 00, fe, ff, 00, 00, fe, ff
  0036, fe, ff, 00, 00, ff, ff, 04, 00, fa, ff, 01, 00, fe, ff, fa, ff
  0037, 03, 00, 00, 00, 05, 00, 01, 00, 04, 00, ff, ff, fc, ff, 05, 00
  0038, 04, 00, 00, 00, fe, ff, fc, ff, 05, 00, ff, ff, 00, 00, 02, 00
  0039, ff, ff, 06, 00, 03, 00, fd, ff, 02, 00, 01, 00, ff, ff, 91, 1f
  003a, 00, c0, 1b, fe, ff, fc, ff, 02, 00, 00, 00, ff, ff, ff, ff, fe
  003b, ff, 00, 00, f6, ff, fd, ff, fe, ff, fc, ff, 03, 00, fc, ff, fd
  003c, ff, 01, 00, fd, ff, 04, 00, fe, ff, fd, ff, 00, 00, 00, 00, 05
  003d, 00, fc, ff, 03, 00, ff, ff, fe, ff, 00, 00, fd, ff, 01, 00, fe
  003e, ff, 02, 00, fd, ff, fd, ff, ff, ff, 00, 00, fd, ff, 00, 00, 01
  003f, 00, 03, 00, 00, 00, 00, 00, 06, 00, 01, 00, 02, 00, fc, ff, fd
  0040, ff, ff, ff, fa, ff, ff, ff, fe, ff, fc, ff, 06, 00, fd, ff, 03
  0041, 00, 00, 00, fe, ff, 01, 00, fe, ff, fe, ff, ff, ff, fd, ff, 02
  0042, 00, 00, 00, 02, 00, 00, 00, fc, ff, fb, ff, fe, ff, 00, 00, ff
  0043, ff, fd, ff, 00, 00, ff, ff, ff, ff, 00, 00, fd, ff, ff, ff, 03
  0044, 00, 00, 00, ff, ff, ff, ff, 00, 00, fe, ff, 02, 00, fe, ff, 00
  0045, 00, 00, 00, 02, 00, 00, 00, 04, 00, fc, ff, 03, 00, 02, 00, 01
  0046, 00, fd, ff, 02, 00, 01, 00, fc, ff, 03, 00, fe, ff, 00, 00, 02
  0047, 00, fc, ff, 01, 00, 02, 00, 05, 00, 03, 00, 02, 00, 01, 00, 00
  0048, 00, fb, ff, 02, 00, ff, ff, 06, 00, 01, 00, fd, ff, 04, 00, 00
  0049, 00, 04, 00, 04, 00, 01, 00, 01, 00, fc, ff, 03, 00, 00, 00, fc
  004a, ff, 01, 00, 03, 00, 05, 00, fd, ff, 02, 00, ff, ff, 05, 00, 02
  004b, 00, 03, 00, ff, ff, 02, 00, ff, ff, 01, 00, 00, 00, 01, 00, 00
  004c, 00, 04, 00, 02, 00, 02, 00, 00, 00, 02, 00, 01, 00, 03, 00, 04
  004d, 00, fb, ff, 04, 00, ff, ff, 05, 00, 01, 00, fe, ff, 02, 00, 03
  004e, 00, 0a, 00, ff, ff, 06, 00, 07, 00, ff, ff, fc, ff, 02, 00, fd
  004f, ff, 00, 00, 04, 00, 03, 00, ff, ff, fc, ff, 05, 00, ff, ff, 04
  0050, 00, ff, ff, 01, 00, 05, 00, fe, ff, 04, 00, 00, 00, fd, ff, 04
  0051, 00, fb, ff, fc, ff, 05, 00, fd, ff, 00, 00, 00, 00, 02, 00, 01
  0052, 00, fb, ff, 08, 00, fc, ff, 01, 00, 06, 00, fc, ff, 02, 00, 03
  0053, 00, 03, 00, 04, 00, ff, ff, 05, 00, 03, 00, 04, 00, 01, 00, 00
  0054, 00, 04, 00, fd, ff, 01, 00, 07, 00, ff, ff, 05, 00, 00, 00, 05
  0055, 00, 04, 00, 00, 00, 03, 00, fe, ff, 03, 00, fe, ff, 04, 00, 00
  0056, 00, 00, 00, 00, 00, 04, 00, 01, 00, 03, 00, fb, ff, 03, 00, 03
  0057, 00, 05, 00, 02, 00, fe, ff, 03, 00, 03, 00, 05, 00, 03, 00, fd
  0058, ff, 00, 00, 06, 00, fc, ff, 02, 00, 04, 00, 01, 00, 00, 00, fa
  0059, ff, 05, 00, ff, ff, 07, 00, ff, ff, ff, ff, 06, 00, 01, 00, 01
  005a, 00, 03, 00, 02, 00, fe, ff, 03, 00, 01, 00, 02, 00, ff, ff, 06
  005b, 00, ff, ff, 00, 00, 00, 00, 00, 00, ff, ff, 03, 00, 02, 00, 02
  005c, 00, fd, ff, 00, 00, 00, 00, 03, 00, 02, 00, 00, 00, 03, 00, 00
  005d, 00, 00, 00, 03, 00, 01, 00, fb, ff, fe, ff, fc, ff, 02, 00, 03
  005e, 00, 01, 00, 00, 00, 02, 00, 02, 00, 00, 00, 00, 00, 02, 00, 04
  005f, 00, 02, 00, fb, ff, 00, 00, fe, ff, 00, 00, 02, 00, 01, 00, 00
  0060, 00, fa, ff, 02, 00, 03, 00, 00, 00, 06, 00, 00, 00, 03, 00, fa
  0061, ff, fc, ff, 02, 00, fd, ff, fe, ff, 04, 00, 01, 00, ff, ff, fc
  0062, ff, 03, 00, ff, ff, ff, ff, 01, 00, fd, ff, 04, 00, 00, 00, f9
  0063, ff, 05, 00, 01, 00, fc, ff, ff, ff, 02, 00, 03, 00, f9, ff, 04
  0064, 00, 02, 00, fe, ff, 02, 00, 03, 00, 03, 00, 01, 00, fe, ff, 06
  0065, 00, 01, 00, 01, 00, fb, ff, 00, 00, 03, 00, ff, ff, 02, 00, 00
  0066, 00, fe, ff, 03, 00, ff, ff, 04, 00, 00, 00, fd, ff, fe, ff, fa
  0067, ff, ff, ff, 02, 00, ff, ff, ff, ff, fb, ff, 00, 00, 01, 00, fa
  0068, ff, 01, 00, fd, ff, 04, 00, fe, ff, fd, ff, 05, 00, fc, ff, 00
  0069, 00, fd, ff, 03, 00, 02, 00, fe, ff, 00, 00, 03, 00, fe, ff, fe
  006a, ff, 03, 00, 04, 00, 05, 00, fc, ff, ff, ff, ff, ff, 03, 00, 00
  006b, 00, fe, ff, 01, 00, 00, 00, 03, 00, 02, 00, fe, ff, 03, 00, ff
  006c, ff, 00, 00, 01, 00, fd, ff, 06, 00, fd, ff, 00, 00, 00, 00, 03
  006d, 00, 02, 00, 00, 00, 04, 00, ff, ff, 02, 00, 04, 00, ff, ff, 03
  006e, 00, 01, 00, 00, 00, 04, 00, fc, ff, 01, 00, 02, 00, fc, ff, 03
  006f, 00, fe, ff, 02, 00, 00, 00, fa, ff, 09, 00, fc, ff, 00, 00, ff
  0070, ff, fe, ff, fe, ff, 01, 00, 04, 00, ff, ff, 00, 00, 02, 00, fd
  0071, ff, fe, ff, 02, 00, 00, 00, 03, 00, fe, ff, 91, 22, 00, c0, 1b
  0072, ff, ff, 00, 00, 00, 00, fe, ff, fe, ff, ff, ff, 01, 00, 00, 00
  0073, fd, ff, 01, 00, 07, 00, 01, 00, fe, ff, 01, 00, 00, 00, 05, 00
  0074, ff, ff, fc, ff, 02, 00, fb, ff, fe, ff, 00, 00, ff, ff, 01, 00
  0075, fc, ff, 01, 00, ff, ff, ff, ff, 03, 00, ff, ff, 02, 00, 01, 00
  0076, 00, 00, 04, 00, fd, ff, fc, ff, ff, ff, 00, 00, 03, 00, fb, ff
  0077, 04, 00, fd, ff, 02, 00, 04, 00, 00, 00, 08, 00, 00, 00, 02, 00
  0078, 01, 00, fa, ff, 00, 00, 02, 00, fc, ff, 03, 00, 04, 00, 00, 00
  0079, 03, 00, fa, ff, 04, 00, 01, 00, 03, 00, 01, 00, 00, 00, 04, 00
  007a, ff, ff, 01, 00, fd, ff, ff, ff, 04, 00, fc, ff, fd, ff, fd, ff
  007b, 04, 00, 04, 00, fe, ff, 05, 00, 04, 00, 03, 00, 06, 00, fe, ff
