accelometer ODR: 3200 Hz
total # of rows: 3129
 Row #, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16
  0000, 3a, 0c, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00
  0001, 55, 55, 55, 55, 00, f5, 18, 99, 5f, b0, 09, 00, 00, 03, 64, 00
  0002, 0f, 91, 1c, 00, c0, 1b, 02, 00, 09, 00, 09, 00, 0a, 00, 02, 00
  0003, 0a, 00, 0b, 00, 01, 00, 09, 00, 0c, 00, 02, 00, 0d, 00, 08, 00
  0004, 05, 00, 06, 00, 03, 00, 0b, 00, 05, 00, 0a, 00, 00, 00, 02, 00
  0005, 03, 00, 01, 00, 03, 00, fe, ff, 02, 00, 03, 00, fc, ff, 02, 00
  0006, ff, ff, f9, ff, 05, 00, ff, ff, fe, ff, fd, ff, fc, ff, fb, ff
  0007, fe, ff, 01, 00, f7, ff, 02, 00, ff, ff, f5, ff, fe, ff, 01, 00
  0008, f7, ff, fd, ff, fe, ff, f9, ff, 00, 00, 02, 00, fa, ff, f7, ff
  0009, 03, 00, f9, ff, fd, ff, 06, 00, f5, ff, fe, ff, 07, 00, f4, ff
  000a, 02, 00, 06, 00, fa, ff, 02, 00, 08, 00, fb, ff, 00, 00, 0b, 00
  000b, 00, 00, 06, 00, 07, 00, fd, ff, 02, 00, 0a, 00, fe, ff, 05, 00
  000c, 0b, 00, 0a, 00, 01, 00, 0a, 00, 0b, 00, 00, 00, 0a, 00, 04, 00
  000d, 05, 00, 09, 00, 06, 00, 05, 00, 09, 00, 07, 00, 0c, 00, 03, 00
  000e, 0a, 00, 02, 00, 06, 00, 07, 00, 09, 00, 03, 00, 08, 00, 02, 00
  000f, 08, 00, 07, 00, 09, 00, 00, 00, 04, 00, 0a, 00, f9, ff, 07, 00
  0010, 06, 00, fb, ff, fd, ff, 05, 00, f6, ff, fb, ff, 07, 00, fb, ff
  0011, f4, ff, 01, 00, fa, ff, f9, ff, 05, 00, f7, ff, f5, ff, 03, 00
  0012, f6, ff, f4, ff, fe, ff, f7, ff, f1, ff, ff, ff, f9, ff, f3, ff
  0013, f9, ff, f7, ff, f0, ff, f9, ff, f6, ff, f0, ff, f8, ff, f8, ff
  0014, f5, ff, f2, ff, f8, ff, f4, ff, f7, ff, 00, 00, f3, ff, f5, ff
  0015, fe, ff, f9, ff, f1, ff, 00, 00, f9, ff, f5, ff, ff, ff, fa, ff
  0016, f4, ff, 07, 00, 00, 00, f5, ff, 08, 00, 00, 00, fb, ff, 0a, 00
  0017, fe, ff, ff, ff, 0b, 00, 05, 00, ff, ff, 07, 00, 08, 00, 01, 00
  0018, 0a, 00, 00, 00, 01, 00, 08, 00, 02, 00, 05, 00, 05, 00, 02, 00
  0019, 08, 00, fe, ff, 03, 00, 05, 00, 00, 00, 03, 00, 03, 00, fe, ff
  001a, fd, ff, 00, 00, f9, ff, f6, ff, 01, 00, f5, ff, fa, ff, 05, 00
  001b, f1, ff, f9, ff, ff, ff, f2, ff, fa, ff, fb, ff, f1, ff, fc, ff
  001c, f8, ff, f4, ff, fb, ff, f8, ff, f0, ff, f6, ff, fd, ff, f0, ff
  001d, fc, ff, fa, ff, f4, ff, fb, ff, fb, ff, fc, ff, fc, ff, f6, ff
  001e, 00, 00, fa, ff, fc, ff, 00, 00, fb, ff, fe, ff, 02, 00, 02, 00
  001f, fc, ff, 04, 00, 00, 00, 00, 00, 07, 00, 04, 00, 02, 00, 06, 00
  0020, 07, 00, 01, 00, 09, 00, 03, 00, 09, 00, 03, 00, 08, 00, 08, 00
