accelometer ODR: 3200 Hz
total # of rows: 3129
 Row #, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16
  0000, 3a, 0c, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00
  0001, 55, 55, 55, 55, 00, 8c, 92, 97, 5f, 2a, 0a, 00, 00, 03, 64, 00
  0002, 0f, 91, 1c, 00, c0, 1b, 03, 00, 04, 00, fe, ff, 00, 00, ff, ff
  0003, 00, 00, 02, 00, ff, ff, fe, ff, fe, ff, fc, ff, 03, 00, 04, 00
  0004, 02, 00, fa, ff, fe, ff, 00, 00, 01, 00, 00, 00, 00, 00, 01, 00
  0005, fe, ff, 00, 00, 00, 00, 03, 00, 03, 00, 03, 00, fd, ff, 02, 00
  0006, 01, 00, 02, 00, 02, 00, fe, ff, 02, 00, 00, 00, 01, 00, 04, 00
  0007, fe, ff, 02, 00, 04, 00, fe, ff, 04, 00, fe, ff, 00, 00, 02, 00
  0008, f7, ff, 05, 00, ff, ff, ff, ff, fe, ff, 00, 00, 02, 00, 03, 00
  0009, 01, 00, 02, 00, fd, ff, 04, 00, fb, ff, fe, ff, ff, ff, 00, 00
  000a, 05, 00, 01, 00, fe, ff, ff, ff, fe, ff, 06, 00, 03, 00, ff, ff
  000b, 00, 00, ff, ff, 03, 00, 04, 00, 00, 00, ff, ff, 00, 00, 03, 00
  000c, 03, 00, 04, 00, 00, 00, fe, ff, 03, 00, 02, 00, fc, ff, 03, 00
  000d, ff, ff, 01, 00, 00, 00, 00, 00, 01, 00, fb, ff, 03, 00, fd, ff
  000e, 04, 00, ff, ff, fe, ff, fe, ff, ff, ff, fc, ff, 03, 00, fd, ff
  000f, ff, ff, fc, ff, 02, 00, ff, ff, 00, 00, 03, 00, 02, 00, 03, 00
  0010, ff, ff, fd, ff, ff, ff, fb, ff, fe, ff, 04, 00, 02, 00, 02, 00
  0011, ff, ff, 02, 00, 01, 00, fb, ff, 02, 00, fe, ff, 03, 00, 01, 00
  0012, 00, 00, 03, 00, fd, ff, ff, ff, ff, ff, fd, ff, fe, ff, ff, ff
  0013, ff, ff, 02, 00, fd, ff, fe, ff, ff, ff, 03, 00, 02, 00, fd, ff
  0014, 04, 00, fd, ff, 00, 00, 02, 00, 02, 00, ff, ff, ff, ff, 00, 00
  0015, fe, ff, fc, ff, 01, 00, fa, ff, 04, 00, ff, ff, fe, ff, 00, 00
  0016, fe, ff, 00, 00, 02, 00, ff, ff, 02, 00, 00, 00, 01, 00, fd, ff
  0017, 03, 00, fe, ff, fc, ff, 02, 00, fd, ff, fe, ff, 03, 00, 02, 00
  0018, 02, 00, fd, ff, fe, ff, 00, 00, 02, 00, fe, ff, 01, 00, ff, ff
  0019, ff, ff, fd, ff, ff, ff, 00, 00, fc, ff, 05, 00, fe, ff, fe, ff
  001a, fd, ff, 03, 00, ff, ff, fe, ff, fe, ff, fd, ff, fd, ff, ff, ff
  001b, fe, ff, 02, 00, 00, 00, fb, ff, fe, ff, fd, ff, 00, 00, fe, ff
  001c, fd, ff, ff, ff, fc, ff, 02, 00, 00, 00, 00, 00, 01, 00, 01, 00
  001d, 00, 00, 01, 00, fc, ff, 06, 00, 01, 00, fe, ff, 00, 00, 00, 00
  001e, 02, 00, 00, 00, fe, ff, 01, 00, fe, ff, 03, 00, ff, ff, 00, 00
  001f, 05, 00, 03, 00, ff, ff, fe, ff, 04, 00, 02, 00, 01, 00, 04, 00
  0020, ff, ff, 03, 00, 01, 00, fe, ff, 03, 00, 01, 00, 05, 00, 02, 00
  0021, fe, ff, 05, 00, ff, ff, ff, ff, 03, 00, fb, ff, 01, 00, fc, ff
  0022, ff, ff, 01, 00, fd, ff, 01, 00, fd, ff, 00, 00, ff, ff, fe, ff
  0023, 03, 00, 01, 00, 00, 00, 00, 00, fd, ff, 01, 00, fa, ff, 02, 00
  0024, 02, 00, fb, ff, 03, 00, 00, 00, 03, 00, ff, ff, fe, ff, ff, ff
  0025, fe, ff, ff, ff, ff, ff, fe, ff, 00, 00, fe, ff, 03, 00, fe, ff
  0026, fd, ff, 05, 00, fd, ff, fd, ff, ff, ff, 00, 00, fe, ff, ff, ff
  0027, ff, ff, 00, 00, ff, ff, 02, 00, f9, ff, fe, ff, 06, 00, ff, ff
  0028, fe, ff, fe, ff, 02, 00, fe, ff, 00, 00, 00, 00, fd, ff, 04, 00
  0029, 00, 00, 00, 00, 04, 00, fc, ff, 00, 00, 01, 00, fd, ff, 04, 00
  002a, fe, ff, 04, 00, 04, 00, fe, ff, 02, 00, ff, ff, 00, 00, ff, ff
  002b, fe, ff, 03, 00, fd, ff, 03, 00, fb, ff, fa, ff, 01, 00, fe, ff
  002c, 02, 00, ff, ff, fe, ff, 03, 00, ff, ff, 02, 00, 00, 00, 00, 00
  002d, 01, 00, fc, ff, 01, 00, ff, ff, fe, ff, 01, 00, 00, 00, ff, ff
  002e, 00, 00, ff, ff, fe, ff, 02, 00, 02, 00, 00, 00, ff, ff, ff, ff
  002f, fe, ff, 03, 00, 00, 00, fe, ff, 02, 00, ff, ff, 02, 00, 03, 00
  0030, fc, ff, 00, 00, fd, ff, ff, ff, ff, ff, 00, 00, 01, 00, fc, ff
  0031, ff, ff, fe, ff, 02, 00, 02, 00, fc, ff, fd, ff, 01, 00, 01, 00
  0032, ff, ff, fd, ff, 00, 00, 00, 00, fc, ff, 03, 00, fc, ff, 00, 00
  0033, fe, ff, fc, ff, 00, 00, fc, ff, 00, 00, 01, 00, ff, ff, 00, 00
  0034, fb, ff, fc, ff, 02, 00, fa, ff, 04, 00, fc, ff, 01, 00, 00, 00
  0035, ff, ff, 01, 00, 02, 00, 02, 00, fe, ff, ff, ff, 00, 00, ff, ff
  0036, fd, ff, 00, 00, fe, ff, ff, ff, fe, ff, fe, ff, ff, ff, fd, ff
  0037, 05, 00, 00, 00, fd, ff, 01, 00, 01, 00, 02, 00, 02, 00, fe, ff
  0038, fe, ff, fd, ff, 00, 00, fd, ff, fc, ff, ff, ff, fb, ff, fe, ff
  0039, ff, ff, 02, 00, 03, 00, ff, ff, 03, 00, 00, 00, fd, ff, 91, 1f
  003a, 00, c0, 1b, ff, ff, 01, 00, 05, 00, ff, ff, 00, 00, 01, 00, f9
  003b, ff, 07, 00, fb, ff, 05, 00, fc, ff, fe, ff, 03, 00, ff, ff, fc
  003c, ff, 04, 00, 02, 00, 00, 00, fc, ff, ff, ff, fe, ff, ff, ff, 05
  003d, 00, fc, ff, 04, 00, fd, ff, fe, ff, 03, 00, fc, ff, fd, ff, fd
  003e, ff, ff, ff, 05, 00, fd, ff, 01, 00, 00, 00, fd, ff, 00, 00, 00
  003f, 00, 06, 00, 00, 00, fe, ff, 00, 00, f9, ff, 01, 00, 02, 00, ff
  0040, ff, 03, 00, 04, 00, fd, ff, fe, ff, fd, ff, 08, 00, ff, ff, fa
  0041, ff, ff, ff, 01, 00, 04, 00, fe, ff, fe, ff, 02, 00, fd, ff, fe
  0042, ff, 00, 00, fe, ff, fe, ff, 00, 00, 02, 00, ff, ff, 02, 00, fc
  0043, ff, ff, ff, 02, 00, ff, ff, fe, ff, fc, ff, fd, ff, 08, 00, 00
  0044, 00, f9, ff, 02, 00, 00, 00, 00, 00, 00, 00, 04, 00, 01, 00, fd
  0045, ff, 00, 00, fe, ff, 01, 00, 00, 00, 03, 00, fd, ff, 03, 00, 00
  0046, 00, 02, 00, fe, ff, 04, 00, 03, 00, 02, 00, 01, 00, fc, ff, 04
  0047, 00, ff, ff, fd, ff, 02, 00, fd, ff, 05, 00, fe, ff, fe, ff, 01
  0048, 00, fd, ff, ff, ff, 02, 00, fd, ff, ff, ff, 03, 00, 02, 00, fd
  0049, ff, 02, 00, 00, 00, 02, 00, 00, 00, 00, 00, 00, 00, 03, 00, fc
  004a, ff, ff, ff, 02, 00, 07, 00, 04, 00, fc, ff, 03, 00, fc, ff, 01
  004b, 00, 04, 00, ff, ff, 04, 00, 04, 00, 03, 00, 02, 00, 02, 00, 06
  004c, 00, fe, ff, 07, 00, 01, 00, 00, 00, 05, 00, fb, ff, 05, 00, 04
  004d, 00, f9, ff, 01, 00, fa, ff, 02, 00, 06, 00, fb, ff, 04, 00, 06
  004e, 00, 04, 00, 02, 00, 00, 00, 00, 00, fd, ff, 01, 00, 02, 00, 01
  004f, 00, 01, 00, fc, ff, 04, 00, 03, 00, ff, ff, 07, 00, 03, 00, 04
  0050, 00, fd, ff, 01, 00, 07, 00, fe, ff, 01, 00, 03, 00, 00, 00, 01
  0051, 00, fe, ff, 00, 00, fd, ff, ff, ff, 0b, 00, 01, 00, 04, 00, ff
  0052, ff, 00, 00, 01, 00, 01, 00, 01, 00, 07, 00, fc, ff, 03, 00, fc
  0053, ff, 00, 00, 01, 00, fa, ff, 02, 00, fe, ff, 00, 00, fe, ff, 01
  0054, 00, 04, 00, fd, ff, ff, ff, 04, 00, 00, 00, 04, 00, 00, 00, 01
  0055, 00, 02, 00, 00, 00, 01, 00, 00, 00, 06, 00, fd, ff, 01, 00, 08
  0056, 00, ff, ff, 01, 00, 04, 00, 01, 00, 06, 00, 03, 00, 00, 00, 02
  0057, 00, 02, 00, 03, 00, fe, ff, 03, 00, 04, 00, ff, ff, 04, 00, fb
  0058, ff, 04, 00, 03, 00, fe, ff, 04, 00, fe, ff, 01, 00, 04, 00, ff
  0059, ff, 03, 00, 02, 00, 03, 00, 07, 00, 00, 00, 04, 00, fd, ff, 03
  005a, 00, 03, 00, 05, 00, 00, 00, 00, 00, fc, ff, 02, 00, 03, 00, 03
  005b, 00, 00, 00, 06, 00, 01, 00, ff, ff, fd, ff, ff, ff, 02, 00, ff
  005c, ff, 02, 00, ff, ff, 00, 00, 01, 00, 01, 00, fb, ff, ff, ff, ff
  005d, ff, 02, 00, 02, 00, fd, ff, 04, 00, ff, ff, 02, 00, 04, 00, ff
