accelometer ODR: 3200 Hz
total # of rows: 3129
 Row #, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16
  0000, 3a, 0c, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00, 00
  0001, 55, 55, 55, 55, 00, b8, 93, 97, 5f, 0d, 0b, 00, 00, 03, 64, 00
  0002, 0f, 91, 1c, 00, c0, 1b, 01, 00, 03, 00, 03, 00, 08, 00, 03, 00
  0003, fd, ff, 07, 00, ff, ff, 06, 00, 06, 00, fb, ff, 06, 00, 06, 00
  0004, fe, ff, ff, ff, 00, 00, 05, 00, ff, ff, 00, 00, ff, ff, fc, ff
  0005, 00, 00, 05, 00, 00, 00, fa, ff, fb, ff, 08, 00, f9, ff, fd, ff
  0006, 06, 00, fc, ff, ff, ff, 01, 00, fe, ff, fb, ff, 04, 00, 01, 00
  0007, fa, ff, 00, 00, ff, ff, fd, ff, 04, 00, 00, 00, fb, ff, 03, 00
  0008, fc, ff, ff, ff, 03, 00, 07, 00, fa, ff, 05, 00, 09, 00, f8, ff
  0009, 03, 00, 06, 00, f7, ff, 0d, 00, 0a, 00, fd, ff, 04, 00, 0c, 00
  000a, 04, 00, 01, 00, 12, 00, 05, 00, 00, 00, 11, 00, ff, ff, 05, 00
  000b, 10, 00, 07, 00, 08, 00, 0a, 00, 06, 00, fc, ff, 0b, 00, 0c, 00
  000c, fb, ff, 0c, 00, 09, 00, f9, ff, 0a, 00, 07, 00, fa, ff, 0a, 00
  000d, 09, 00, fd, ff, 08, 00, 08, 00, fe, ff, 05, 00, 0b, 00, fc, ff
  000e, 06, 00, 07, 00, fa, ff, 00, 00, 05, 00, f9, ff, ff, ff, 0b, 00
  000f, fc, ff, fa, ff, 06, 00, fb, ff, f6, ff, 08, 00, ff, ff, ff, ff
  0010, fa, ff, fd, ff, fd, ff, f9, ff, 01, 00, 00, 00, f8, ff, 01, 00
  0011, fe, ff, f9, ff, 01, 00, 02, 00, f6, ff, ff, ff, 02, 00, f9, ff
  0012, 02, 00, 09, 00, f9, ff, ff, ff, 03, 00, fb, ff, 05, 00, 04, 00
  0013, ff, ff, 01, 00, 03, 00, 02, 00, fb, ff, 0c, 00, 02, 00, fd, ff
  0014, 09, 00, 04, 00, fa, ff, 0b, 00, 07, 00, fc, ff, 07, 00, 07, 00
  0015, f9, ff, 02, 00, 0f, 00, f8, ff, 04, 00, 09, 00, fd, ff, 05, 00
  0016, 04, 00, fb, ff, fc, ff, 07, 00, fd, ff, fb, ff, 06, 00, f6, ff
  0017, fc, ff, 05, 00, fa, ff, 03, 00, 00, 00, fa, ff, fd, ff, fc, ff
  0018, f7, ff, fa, ff, fc, ff, fb, ff, f5, ff, f9, ff, fd, ff, f9, ff
  0019, f9, ff, ff, ff, f9, ff, f7, ff, fb, ff, f9, ff, f6, ff, fb, ff
  001a, fe, ff, f8, ff, fe, ff, f7, ff, f7, ff, fd, ff, fc, ff, f9, ff
  001b, 00, 00, 06, 00, fd, ff, f9, ff, 02, 00, fb, ff, fc, ff, 03, 00
  001c, fa, ff, 02, 00, 04, 00, fb, ff, 00, 00, 04, 00, 05, 00, fc, ff
  001d, 08, 00, 05, 00, 00, 00, 0a, 00, 05, 00, fd, ff, 0a, 00, 05, 00
  001e, fb, ff, 07, 00, 05, 00, f8, ff, ff, ff, 07, 00, fb, ff, 05, 00
  001f, 04, 00, f6, ff, 05, 00, 01, 00, fb, ff, fc, ff, 02, 00, 00, 00
  0020, fa, ff, 07, 00, fe, ff, f9, ff, 00, 00, fa, ff, fa, ff, 06, 00
  0021, fd, ff, f8, ff, fa, ff, 00, 00, f7, ff, fa, ff, 02, 00, f7, ff
  0022, 02, 00, fe, ff, f6, ff, 03, 00, fb, ff, f3, ff, 02, 00, ff, ff
  0023, fb, ff, ff, ff, fb, ff, fa, ff, fb, ff, 02, 00, f9, ff, 01, 00
  0024, ff, ff, fa, ff, 00, 00, fe, ff, fc, ff, 02, 00, fc, ff, 02, 00
